"Banscherus, Jürgen";"Ein Fall für Kwiatkowski - Doppeltes Spiel.";"Arena";"978-3-401-70852-2";"GEB";"7.99 EUR";"";"30.0";"202 g";" 2016;96 S.;200.00 mm;ab 7 J.;";"240";""
"Boehme, Julia";"Das kleine Muffelmonster - Viel Wirbel im Klassenzimmer.";"Arena";"978-3-401-70853-9";"GEB";"7.99 EUR";"";"30.0";"330 g";" 2016;48 S.;m. Illustr. u. ABC-Stickern;271.00 mm;Mit Bücherbär am Lesebändchen;ab 5 J.;";"240";"Mit Bildergeschichten"
"Grosche, Erwin";"Das Känguru trägt keine Schuh.";"Arena";"978-3-401-70792-1";"GEB";"7.99 EUR";"";"30.0";"336 g";" 2016;48 S.;258 mm;Mit Bücherbärfigur am Lesebändchen;ab 5 J.;";"240";"Tierische Abc-Geschichten in Reimen"
"Reinhardt, Dirk";"Gefahr am Schlangenfluss.";"Arena";"978-3-401-70647-4";"GEB";"7.99 EUR";"";"30.0";"282 g";" 2016;56 S.;m. Illustr.;210.00 mm;Mit Bücherbärfigur am Lesebändchen;ab 6 J.;";"240";"Ein Detektivabenteuer zum Mitraten"
"Loeffelbein, Christian";"Sindbad, der Seefahrer.";"Arena";"978-3-401-70802-7";"GEB";"7.99 EUR";"";"30.0";"324 g";" 2016;72 S.;227 mm;Mit Bücherbär am Lesebändchen;ab 7 J.;";"240";"Mit Abc-Stickern"
"Schindler, Nina";"Von Elfen, Nixen und Piraten.";"Arena";"978-3-401-70897-3";"GEB";"5.00 EUR";"";"30.0";"444 g";" 2016;144 S.;211 mm;ab 6 J.;";"240";"Die schönsten Mädchengeschichten für Erstleser"
"Pantermüller, Alice";"Lina und Fred. Ein Bär kennt kein Pardon, m. Audio-CD.";"Arena";"978-3-401-71096-9";"GEB";"9.99 EUR";"";"30.0";"452 g";" 2016;64 S.;m. zahlr. farb. Illustr.;247.00 mm;ab 5 J.;";"240";""
"Baltscheit, Martin";"Löwenherzen weinen nicht.";"Beltz";"978-3-407-82184-3";"GEB";"8.95 EUR";"";"33.0";"217 g";" 2016;48 S.;m. Illustr.;15.3 x 21.2 cm;ab 6 J.;";"240";""
"Reich, Annika";"Lotto macht, was sie will!.";"Hanser";"978-3-446-25307-0";"GEB";"12.00 EUR";"";"35.0";"390 g";" 2016;96 S.;m. zahlr. farb. Illustr.;246 mm;ab 6 J.;";"240";""
"Kramer, Irmgard";"Die Piratenschiffgäng - Der fiese Admiral Hammerhäd.";"Loewe Verlag";"978-3-7855-8248-0";"GEB";"7.95 EUR";"";"31.0";"316 g";" 2016;80 S.;215 mm;ab 7 J.;";"240";""
